AÑO,TRIMESTRE,PROVEEDOR,INGRESOS
2021,3,TELNET DE OCCIDENTE S.A.S. ZOMAC,76901369
2020,4,IPCOM SISTEMAS S.A.S,58343221
2021,3,GUACATEL SAS,9959800
2021,3,INTER REDES DEL MAGDALENA SAS,114536356
2021,3,UFICOL SAS,18326500
2021,3,NANOTIC FIB S.A.S,62219025
2021,3,PEDRO ALBERTO DELGADO REYES E.U.,51600000
2021,3,FIBRANET SAS,100094000
2021,2,SITELINKS SAS,108981444
2021,3,ITELKOM S.A.S.,1111998424
2021,3,ELITE ON LINE SAS,34049231
2021,3,EME S.A.,346719073
2021,3,WIRETEL S.A.S.,53264151
2021,3,SOFIVER SAS,65840000
2021,3,HYDRA SOLUCIONES EMPRESARIALES INGENIERIA SAS,127990791
2021,3,AJFIBER.NET S.A.S.,99585156
2021,3,CAFETEL TV SAS,159160089
2021,3,TELNET WIRELESS SAS,599976000
2020,4,FIESTA TELECOMUNICACIONES SAS,997452956
2021,3,INTERTV INTERNET Y TELEVISION POR CABLE S.A.S,8485000
2021,3,COMPLEXCOM LTDA,28730300
2021,1,UFINET COLOMBIA S.A,7842877874
2021,3,ELECTRONICA Y TELECOMUNICACIONES DE COLOMBIA S. A. S. - ETELCO S. A. S.,78591357
2021,3,INGENIERIA ELECTRONICA COLOMBIANA S A S,8789922
2021,3,GTD COLOMBIA S.A.S.,4063172600
2021,3,SINURED SOLUCIONES S.A.S.,88502000
2021,3,CABLENET DEL SUR TELECOMUNICACIONES SAS,98081000
2021,3,ANTENA DE TELEVISION YUMBO S.A.S,4870000
2021,3,COMPUSEB SOLUTIONS SAS,123662318
2021,3,COMPUSOLUCIONES Y TELECOMUNICACIONES C&H SAS,7327437
2021,3,DICAR TELECOMUNICACIONES S.A.S.,42774996
2021,3,HS NETWORKS SAS,715386688
2021,3,FIBERNET TV S.A.S,871881139
2021,3,FIESTA TELECOMUNICACIONES SAS,1069168040
2021,3,MAZCSYSTEM COMUNICACIONES SAS,38024000
2021,3,SONDA DE COLOMBIA S.A.,543249394
2021,3,POWERLINK SERVICES SAS,57507647
2021,3,LEVEL9 TELECOMUNICACIONES S.A.S,19080000
2021,3,SIENERCOM COLOMBIA SAS,6000000
2021,3,TEVECOM SAS,167053705
2021,1,FASTNET INTERNET PARA TODOS S.A.S,38391760
2021,3,RADIOCOMUNICACIONES HALCONES DE LA SABANA SOCIEDAD POR ACCIONES SIMPLIFICADA,273531214
2021,3,TECNOFUTURO 25 S.A.S,4866000
2021,3,SUNNOVA SAS,91370862
2021,1,SITELINKS SAS,92224989
2021,3,WIFI ALTERNATIVO VALLE S.A.S,35124912
2021,3,HISPASAT S.A. SUCURSAL COLOMBIA,184539408
2021,3,SERVYCOM COLOMBIA SAS,368650774
2021,3,HOLA WE DIGITAL S.A.S,115005141
2021,3,SERVICIOS PROFESIONALES EN NETWORKING LIMITADA,118568383
2021,3,UBIPREL S.A.S,129209640
2021,3,SUMERTEL COMUNICACIONES S.A.S.,28728747
2021,3,CABLE CAUCA S.A,1230709318
2021,3,"SISTEMAS, TELECOMUNICACIONES & SEGURIDAD S.A.S",6376387
2021,3,AXESAT S.A.,2379489872
2021,3,ASOCIACION SAMANIEGUENSE DE TELEVISION POR CABLE ASOTVCABLE,25637900
2021,3,LECARVIN SAS,458561935
2021,3,SOTO RED S.A.S.,69380554
2021,3,UBIT NETWORKS S.A.S,38567000
2021,3,SKYPRO SOLUCIONES Y CONECTIVIDAD SAS,36195000
2021,3,MICEL COMUNICACIONES S.A.S,15660000
2021,3,FIBERNEXT S.A.S,3870000
2021,3,HIGHTECH INGENIERIA Y TRANSPORTE,152227619
2021,3,TELEMATICS NETWORK SAS,120378328
2021,3,MAX TV SAS,117827210
2021,3,LAUDATOS SAS,125033770
2021,3,CLICK-CONECTIVIDAD SIN FRONTERAS S.A.S,140783300
2021,3,EXODO 20 FIBRA OPTICA S.A.S.,148033548
2021,3,CONEXXION WI-FI LTDA,80626154
2021,3,DM SOLUCIONES TELEMATICAS S.A.S,52188201
2021,3,TV ZONA BANANERA S.A.S,34159997
2021,3,GLOBAL WEB1 S.A.S,35806000
2021,3,CABLEMAS S.A.S,814955783
2021,3,SUPERACTIVA S.A.S.,269233271
2021,3,INTERNET Y TELECOMUNICACIONES DE COLOMBIA S.A.S.,196534873
2021,3,SIES INGENIERIA Y COMUNICACIONES S.A.S,52246022
2021,1,INTERCOM SOLUCIONES TECNOLOGICAS SAS,102919000
2021,3,CENTURYLINK COLOMBIA S.A.,19311124437
2021,3,TELECOMUNICACIONES ARGENTINA SAS,24460693
2021,3,RASER TELECOMUNICACIONES S.A.S.,22908000
2021,3,INTRANET COMUNICACIONES Y SERVICIOS SAS,4613445
2021,3,PLUG IN INGENIERIA S.A.S,7970651
2021,3,BETEL SOLUCIONES S.A.S.,639457578
2021,3,KERUV TELECOMUNICACIONES S.A.S,32209720
2020,4,GPM ELECTROCOM S.A.S.,24299500
2021,3,OCCITEL TELECOMUNICACIONES SAS,47583272
2021,3,SISTELME SAS,279235662
2021,3,COMPUWEB ISP S.A.S,1815000
2021,3,FIBER NET COMUNICACI�N SUPERIOR S.A.S,10020000
2020,3,FASTNET INTERNET PARA TODOS S.A.S,16650000
2021,3,REDCOM D&M SAS,12060000
2021,3,718 TRADING CO SAS,16440013
2020,3,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,11085882
2021,3,CONSULNETWORKS S.A. E.S.P.,1417489745
2021,3,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE MOGOTES-ASOPAMO,18954300
2020,4,SIES INGENIERIA Y COMUNICACIONES S.A.S,15462000
2021,3,CABLENET PLUS S.A.S. ZOMAC,88409927
2021,3,EXPRES SISTEMAS COMUNICACIONES SAS,34271174
2020,4,UFINET COLOMBIA S.A,6368709706
2021,3,@DIGITAL GROUP SAS,762346354
2021,3,CABLENETWORK COMUNICACIONES S.A.S.,58302522
2021,3,ZABUD TECHNOLOGIES S.A.S,97219131
2021,3,INTERGALAXIA SOCIEDAD POR ACCIONES SIMPLIFICADA,39109695
2021,3,LOGISTICA EN TELECOMUNICACIONES S.A.S.,230333800
2021,3,GENESIS DATA LTDA,108877710
2021,3,JASTANET SAS,208909766
2021,3,INTERCOL WISP S.A.S.,353881822
2021,3,Osmio Telecomunicaciones S.A.S,269502776
2021,3,LAN REDES S.A.S,60720000
2021,3,RED PLANET TELECOMUNICACIONES SAS,370483633
2021,3,ANTNET COMUNICACIONES S.A.S.,95334900
2021,3,PSI TELECOMUNICACIONES DE COLO,221923381
2021,3,TELECOMUNICACIONES FACILRED S.A.S.,216091000
2021,3,ORION COMUNICACIONES CHOACHI SAS,108370429
2021,3,FLASHNET COMUNICACIONES S.A.S.,11584800
2021,3,WIFAO COLOMBIA S.A.S.,93187885
2021,3,COMPA�IA INTEGRAL DE RECURSOS EN TELECOMUNICACIONES SAS,109912849
2021,3,ASOCIACION ANTENA PARABOLICA AMAGA,92864829
2021,3,JOHN JOTA COMUNICACIONES SAS,178252000
2021,3,SERVIRED SYJ S.A.S,59218721
2021,3,COLOMBIATEL TELECOMUNICACIONES S.A.S.,1471981
2021,3,COMUNICACION CELULAR S A COMCEL S A,437710780100
2021,3,INTERMEGAMUNDO PARTNERS SAS,143762139
2021,3,TV SUR LTDA,35836576
2021,3,MAS NET S.A.S,36283000
2021,3,GPON TECHNOLOGY S.A.S,16599700
2021,3,TECNOLOGIAS MERCATECH S.A.S,139895941
2021,3,AIREDNET LTDA,14192819
2021,3,TEXEL GROUP S.A.S.,14153161
2021,3,OPTILINK SAS,122396000
2021,2,REINA CONEXION S.A.S.,9510500
2021,3,CPM SOLUCIONES INTEGRALES S. A. S.,11138812
2021,3,CORPORACION CIVICA PROGRESAR,103486800
2020,3,SERVICIOS PROFESIONALES EN NETWORKING LIMITADA,54565484
2021,3,ENERCOM S.A.,124563335
2021,3,VERIZON COLOMBIA S.A. - VERIZON BUSINESS,96842811
2021,3,SINERGY SOLUCIONES INTEGRALES S.A.S,1684600011
2021,3,SERVICIOS TECNOLOGICOS ICOMREDES S.A.S,16704996
2021,3,TELENET DE COLOMBIA COMUNICACIONES SAS,7236428
2021,3,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,120510645
2021,3,SISTELEC LTDA,288059482
2021,3,RODRIGO CUSHCAGUA OYAGATA,19582000
2021,3,OSEGUTV SAS,56386000
2021,3,PCNET.COM S.A.S,196398648
2021,3,COMUNICACIONES REDES Y ENLACES SAS,542805110
2021,3,VIVO TELECOMUNICACIONES S.A.S.,89703291
2021,3,YESTCOBE COMUNICACIONES SAS,41268928
2021,3,SERVICIOS INTEGRALES TELECOMUNICACIONES SAS,201357500
2021,3,GLOBALTRONIK S.A.S,174329273
2021,3,E-GPON TELECOMUNICACIONES S.A.S.,7327000
2021,3,LEGON TELECOMUNICACIONES S.A.S.,5949810152
2021,3,SINERGIA SOLUTIONS S.A.S.,120615000
2021,1,UBIPREL S.A.S,108329750
2021,3,SERVIDATA ELECTRONIC SAS,27301547
2021,3,NET2COM SAS,96367583
2021,3,FABRIMETAL ARROYAVE S.A.S.,142930203
2021,3,INVERSIONES Y COMUNICACIONES SATELITALES - INVERSAT S.A.S.,62507901
2020,3,INTERMEGAMUNDO PARTNERS SAS,23000218
2021,3,ALNET TELECOMUNICACIONES S.A.S,4092173
2021,3,TV SANV SAS,2935134498
2021,3,"WHOME ""WH SAS""",23878000
2021,3,CENTRAL DE SERVICIOS DIGITALES S.A.S.,259087000
2021,3,FIBRAWISP S.A.S,42700490
2021,3,INSITEL S.A.S.,1934714363
2021,3,ESG COMUNICACIONES S.A.S,54902939
2021,3,ENSOTEL S.A.S,54928624
2021,3,TELECOMUNICACIONES TECNOPUNTO S.A.S. ZOMAC,3531808
2021,3,BANSAT S.A.,383186000
2020,3,LIBRE COMUNICACIONES SAS,48097130
2021,3,TELECOMMUNICATIONS ADVANCE GROUP S.A.S.,209424406
2021,3,INTELCOM CALI SAS,205976000
2022,4,ROYALNET TELECOMUNICACIONES SAS,331076900
2021,3,INZANET SAS,395926000
2021,3,ID INTEGRACION DIGITAL SAS,76197962
2021,3,PUNTO RED TELECOMUNICACIONES S.A.S,322107500
2021,3,TURBO REDES TELECOMUNICACIONES S.A.S.,115776417
2021,3,DOBLECLICK SOFTWARE E INGENIERIA S.A.S.,2917121500
2021,3,INTERURAL SAS,28565657
2021,3,REDES TV SAT S.A.S,43649036
2021,3,GENIONET TELECOMUNICACIONES SAS,413261000
2021,3,TIENDAS TECNOL�GICAS MEGARED S.A.S ZOMAC,44743169
2021,3,COMPA�IA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS,340783455
2021,3,JEFFERSON AFE S.A.S,153211058
2020,3,OCCITEL TELECOMUNICACIONES SAS,31165095
2021,3,ACCESS DIGITAL S.A.S,294219228
2021,3,FIBER HOME TELECOMUNICACIONES SAS,33090000
2021,3,MEG@NET TVCOMUNICACIONES S.A.S,96847500
2021,3,MEGA FIBRA SAS,204328
2021,3,AFCV COMUNICACIONES SAS,91405000
2021,3,CONNECTION TELECOMUNICACIONES ISP S.A.S,69163131
2021,3,SOLUCIONES INTEGRALES EN TECNOLOGIA Y SEGURIDAD COMPUSEG S.A.S,100900000
2021,4,INTERNET AL CAMPO S.A.S.,142122513
2021,4,MEDIAWIRE TELECOMUNICACIONES S.A.S,191593251
2021,4,IO SUPPLY S.A.S.,51269206
2021,4,ALFANET TV S.A.S,58227532
2021,4,TELENET DE COLOMBIA COMUNICACIONES SAS,7667984
2021,4,EMPRESA DE TELECOMUNICACIONES IQUINET INGENIERIA S.A.S.,993015805
2021,4,TECH SYSTEM PLUS TELECOMUNICACIONES SAS,278488511
2021,4,TAR & TEC S.A.S.,14450200
2021,4,ASOCIACION SAMANIEGUENSE DE TELEVISION POR CABLE ASOTVCABLE,37078000
2021,3,FASTNET INTERNET PARA TODOS S.A.S,51097000
2021,4,RADIOCOMUNICACIONES HALCONES DE LA SABANA SOCIEDAD POR ACCIONES SIMPLIFICADA,19605332
2020,3,SSI SERVICIOS Y SOLUCIONES DE INGENIERIA SAS,14953000
2021,4,MAGOTEL WIMAX S.A.S.,23760000
2021,4,INTERED COLOMBIA S.A.S,92583000
2021,4,UFICOL SAS,44734931
2021,4,CALDAS DATA COMPANY LTDA CADCOM,1590952859
2021,4,ASOCIACION DE ANTENA PARABOLICA  COMUNITARIA SIN ANIMO DE LUCRO SAN ROQUE,67295348
2021,4,SISTELINTER S.A.S,11798000
2021,4,COMUNICACIONES REDES Y ENLACES SAS,541437378
2021,1,TV Y COMUNICACIONES J.L. S.A.S.,92976000
2020,3,CELSIA COLOMBIA S.A. E.S.P.,331082817
2021,4,WISP TELECOMUNICACIONES SAS,285685123
2021,4,TELEMATICS NETWORK SAS,116617623
2021,4,SOLUCIONES INTEGRALES EN TECNOLOGIA Y SEGURIDAD COMPUSEG S.A.S,120000000
2021,4,WIRETEL S.A.S.,57003961
2021,4,"ATYCO - ASESORIAS, TECNOLOGIA Y COMUNICACIONES S.A.S",202426000
2021,4,GENIONET TELECOMUNICACIONES SAS,509417072
2021,4,PRODUCTOS INFORMATICOS DE COLOMBIA - PIDECOL S.A.S.,58513530
2021,2,INVERSIONES RODRIGUEZ MEJIA S.A.S,56651000
2021,4,ASISTENCIA COMUNICACIONES S.A.S,337001133
2021,4,TIENDAS TECNOL�GICAS MEGARED S.A.S ZOMAC,48077459
2021,4,SECO S.A.S.,70679390
2021,4,TV MAC S.A.S.,127719000
2020,4,DI. REDES Y COMUNICACIONES S.A.S,8000000
2021,4,ENERCOM S.A.,200595144
2021,4,SMART.NET TELECOMUNICACIONES SAS,27524573
2021,4,COMUNICACION Y TECNOLOGIA SAS,27267281
2021,3,CONECTANDO FRONTERAS S.A.S,126381555
2021,4,"WHOME ""WH SAS""",23895000
2021,4,CONECTATE COMUNICACIONES DEL PACIFICO S.A.S,17447855
2021,4,ASOCIACION COMUNITARIA DE TELECOMUNICACIONES,307647951
2021,4,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S.,159819559
2021,4,MARTZFIBRA S.A.S,15160000
2021,4,SUSETELCO S.A.S,144883089
2021,4,FIBERNEXT S.A.S,11110000
2021,4,LIBRE TECNOLOGIA SAS,43083493
2021,4,TELARA�A.NET S.A.S.,74489
2021,4,COMPLEXCOM LTDA,33354100
2021,4,INTERCOMM DE NARI�O SAS,145571010
2021,4,CORPORACION ANTENA PARABOLICA DE GUATAPE CORPAGUA,101423234
2021,4,INTERMEGAMUNDO PARTNERS SAS,119719831
2021,4,FIBERLINKNETWORKS S.A.S,100315697
2020,3,VITEL LTDA.,7800000
2021,4,INTERLOOP S.A.S,35595706
2021,4,TICLINE S.A.S.,1829899010
2021,4,GUACATEL SAS,19980000
2021,4,AZIMUTH CORP S.A.S,129563498
2020,3,CONEXIONES TECNOLOGICAS Y COMUNICACION SAS,748373189
2021,4,TELECOMUNICACIONES FACILRED FJM S.A.S. ZOMAC,87908000
2021,4,OPTILINK SAS,107801000
2021,4,LECARVIN SAS,222887166
2021,4,ARM TELECOMUNICACIONES SAS,8940816
2020,3,GLOBALNET INGENIERIA SAS,36345450
2020,3,JHON JAIRO MESA MESA E INGENIEROS ASOCIADOS SAS  JJMMELECTRONICS S.A.S.,44649000
2020,3,TIVIT COLOMBIA TERCERIZACION DE PROCESOS SERVICIOS Y TECNOLOGIA S.A.S,26428077
2020,3,TVCABLE EL VERGEL S.A.S.,107424000
2021,4,INTERCONEXIONES & COMUNICACIONES SAS,121230372
2021,4,ORIENTE M�O TELECOMUNICACIONES S.A.S ZOMAC,95629038
2022,2,SERVIWISP S.A.S,9336135
2021,4,COMUNICACIONES MARFE SOCIEDAD POR ACCIONES SIMPLIFICADA,57282301
2021,4,REDES Y TELECOMUNICACIONES INGENIER�A SAS,73319450
2021,4,ASOCIACION DE COPROPIETARIOS DEL SISTEMA DE TELECOMUNICACIONES VILLAPINZON,7500400
2021,4,RADIO FRECUENCIA COMUNICACIONES S A S,174613611
2020,3,INVERSIONES BEDOYA RAMIREZ S.A.S.,9577302
2021,4,VELONET S.A.S,2389273000
2021,4,JEFFERSON AFE S.A.S,164825818
2021,4,CUNDINET WIRELESS S.A.S.,19544732
2021,4,SINERGIA SOLUTIONS S.A.S.,127298000
2021,4,HAR REDES Y COMUNICACIONES S.A.S.,97770000
2021,4,STARNET.NET S.A.S.,188447000
2021,4,SION TELECOMUNICACIONES S.A.S,230232000
2021,4,TECNOLOGIA EN COMUNICACIONES J & M S A S,44678629
2021,4,EMPRESA DE SERVICIOS INALAMBRICOS Y TELECOMUNICACIONES - EMSITEL LTDA.,741114188
2021,4,MERCANET SAS,608717744
2021,4,ULTRANET CONEXIONES INAL�MBRICAS S.A.S.,8505419
2021,4,L@TINNETWORK SAS,83961500
2021,4,IP COMUNICACIONES Y TECNOLOGIA S.A.S,17595000
2020,4,TOTAL BAND COMUNICACIONES S.A.S,61093318
2021,1,RED PLANET TELECOMUNICACIONES SAS,314533376
2021,4,AMETRONIC COMUNICACIONES SAS,12900000
2021,4,ISANET TELECOMUNICACIONES SAS,1050000
2021,4,PARABOLICAS HULIG LTDA,346400163
2021,4,GLOBENET CABOS SUBMARINOS COLOMBIA S.A.S.,2368707949
2021,4,INTERGALAXIA SOCIEDAD POR ACCIONES SIMPLIFICADA,41635188
2021,4,TELECOMUNICACIONES DEL SAN JORGE Y LA MOJANA SAS,68721041
2021,4,COLUMBUS NETWORKS DE COLOMBIA LTDA,54777728939
2021,4,REDES DIGITALES SAN CARLOS SAS,99066320
2021,4,COMPA�IA DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S.,604356014
2021,4,SYSTEL COMUNICACIONES CARTAGO S.A.S.,628917000
2021,4,REDES INTERACTIVAS GROUP SAS,262083094
2021,4,SOL CABLE VISION S. A. S. - E. S. P.,1173521694
2021,4,CR.ISP TELECOMUNICATION PROVIDER S.A.S.,134989542
2021,4,INTESOGAMOSO COMUNICACIONES S.A.S,237662853
2021,4,IFX NETWORKS COLOMBIA S.A.S.,16790125297
2021,4,GRCOM.NET S.A.S,28711000
2021,4,SINERGY SOLUCIONES INTEGRALES S.A.S,1846817136
2021,3,REDESMAS.NET S.A.S,119306000
2021,4,GARDEN TECHNOLOGY SAS,1870879832
2021,4,INTERDAYK - TV. S.A.S.,30300000
2021,3,TV Y COMUNICACIONES J.L. S.A.S.,255061000
2021,4,CHATNET COMUNICACIONES SAS,4435000
2021,4,GWIFA S.A.S,287068346
2021,4,"INGENIER�A EN MANTENIMIENTO Y MONTAJES DE REDES ELECTRICAS, DE COMUNICACIONES Y AUTOMATIZACI�N SAS",16312000
2021,4,TELCAB S.A.S,4970000
2021,4,SISTEMAS INTEGRADOS M&LL SAS,176319232
2021,4,TV AZTECA SUCURSAL COLOMBIA,399719435
2021,4,GLOBAL PLAY SAS,302310089
2021,4,GRUPO BELCOM DE COLOMBIA S A S,50192716
2020,3,REDES INTERACTIVAS GROUP SAS,205310412
2021,4,ROYALNET TELECOMUNICACIONES SAS,223444255
2021,4,JASZ COMUNICACIONES TECNOLOGICAS E INTERACTIVAS E U,92949608
2021,4,INTERCOM TELECOMMUNICATIONS SAS,10842000
2021,4,EDCOM TELECOMUNICACIONES S.A.S.,3100000
2021,4,SERTELCON S.A.S.,19216000
2021,4,TV COLOMBIA DIGITAL SAS,1150251590
2021,4,DIFUDATOS S A S,454410273
2021,4,SISTELME SAS,235678606
2020,4,VITEL LTDA.,13600000
2021,4,SERVICIOS Y SOLUCIONES EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S,86248401
2021,4,ASOCIACION ANTENA PARABOLICA COMUNITARIA DEL MUNICIPIO DE COCORNA ANTEPACO,69698000
2021,1,ALK NET LTDA,168343939
2021,4,TELNET DE OCCIDENTE S.A.S. ZOMAC,82396619
2021,4,SUPERFIBRAS COLOMBIA SAS,289598000
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,181407607788
2021,4,AMERICANA DE TECNOLOGIA Y COMUNICACIONES SAS,840287784
2021,4,IPCOM SISTEMAS S.A.S,59086210
2021,4,SERVICIOS PUNTO AZUL COMUNICACIONES S.A.S.,84000000
2021,4,ASOCIACION DE TELEVISION TELEBOYACA,181806833
2021,4,CONECTTIC S A S,549088667
2022,2,OPITASENLINEA S.A.S.,6282985
2021,4,DIUFF.NET TELECOMUNICACIONES SAS,94313774
2021,4,MEG@NET TVCOMUNICACIONES S.A.S,100097332
2021,4,VILLAWEB TELECOMUNICACIONES SAS,32003040
2021,4,VITEL LTDA.,29025000
2021,4,CABLE HOGAR.NET S.A.S.,74429000
2021,4,TECNISOLUCIONES DENAR SAS,33858289
2021,3,ISP FIBRA NET S.A.S.,5769748
2021,4,TELNET ISP S.A.S.,274968900
2021,4,BARULE TELECOMUNICACIONES S.A.S.,40560000
2021,4,POWERLINK SERVICES SAS,64664202
2021,4,ZULDEMAYDA COMUNICACIONES,29568000
2021,4,LOGYCABLE S.A.S.,79736283
2021,4,REYMON CONEXIONES S.A.S ZOMAC,750000
2021,4,718 TRADING CO SAS,18042817
2021,4,LEOWISP SAS,8880000
2021,4,CONVERGENCIA DIGITAL S.A.S.,22320000
2021,3,AJ GLOBAL PROYECTOS NET S.A.S.,97000000
